year,term,value,value_per_million,query_group,narrative_role,source,corpus,smoothing,case_sensitive
1800,photograph,2.2213017381034206e-7,0.22213017381034206,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1801,photograph,9.331546735324991e-8,0.09331546735324991,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1802,photograph,1.7551906594803768e-8,0.017551906594803768,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1803,photograph,7.281286684701627e-9,0.007281286684701627,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1804,photograph,1.3518423691571968e-7,0.13518423691571968,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1805,photograph,2.4212398974654548e-8,0.024212398974654548,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1806,photograph,1.3071182247692548e-7,0.13071182247692548,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1807,photograph,4.578062262616811e-8,0.04578062262616811,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1808,photograph,5.131475955266751e-8,0.05131475955266751,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1809,photograph,2.7060993446070825e-8,0.027060993446070825,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1810,photograph,8.264838591287571e-9,0.008264838591287571,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1811,photograph,4.1890110935582925e-8,0.041890110935582925,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1812,photograph,1.0703359976105276e-8,0.010703359976105276,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1813,photograph,7.795470047256003e-9,0.0077954700472560035,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1814,photograph,1.5850165624442525e-8,0.015850165624442525,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1815,photograph,2.7307980321467085e-8,0.027307980321467085,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1816,photograph,3.483009258786751e-8,0.03483009258786751,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1817,photograph,1.330309018499065e-7,0.1330309018499065,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1818,photograph,2.5652843627099742e-8,0.025652843627099742,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1819,photograph,1.84266499836383e-8,0.0184266499836383,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1820,photograph,2.413187383254467e-8,0.02413187383254467,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1821,photograph,1.6997406149243943e-8,0.016997406149243943,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1822,photograph,8.068724177690001e-8,0.08068724177690001,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1823,photograph,2.6139157505156163e-8,0.026139157505156163,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1824,photograph,1.3548913102567894e-8,0.013548913102567894,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1825,photograph,6.186657852680355e-9,0.006186657852680355,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1826,photograph,2.24324669950704e-8,0.0224324669950704,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1827,photograph,2.3590356335034812e-8,0.023590356335034812,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1828,photograph,3.594360720171608e-8,0.03594360720171608,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1829,photograph,2.903279094912392e-8,0.02903279094912392,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1830,photograph,2.473774568523268e-8,0.02473774568523268,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1831,photograph,1.0840031583470022e-7,0.10840031583470022,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1832,photograph,0.0000031443752614990217,3.1443752614990217,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1833,photograph,2.29146645658318e-7,0.229146645658318,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1834,photograph,7.767434301308995e-8,0.07767434301308995,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1835,photograph,1.1010295430935457e-7,0.11010295430935457,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1836,photograph,3.1748355500127445e-8,0.031748355500127445,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1837,photograph,1.670668670072928e-8,0.01670668670072928,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1838,photograph,4.154576749293426e-8,0.04154576749293426,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1839,photograph,6.350819514722161e-8,0.06350819514722161,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1840,photograph,1.4876590215262553e-7,0.14876590215262553,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1841,photograph,6.32351468965453e-8,0.0632351468965453,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1842,photograph,5.008021197738799e-8,0.05008021197738799,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1843,photograph,1.054483125262351e-7,0.1054483125262351,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1844,photograph,8.622307656747097e-8,0.08622307656747097,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1845,photograph,3.9006981289446685e-7,0.39006981289446685,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1846,photograph,2.424520837429611e-7,0.24245208374296112,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1847,photograph,1.8789869571378404e-7,0.18789869571378404,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1848,photograph,4.78540906900804e-8,0.0478540906900804,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1849,photograph,1.1364255669832346e-7,0.11364255669832346,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1850,photograph,2.0024056635037368e-7,0.20024056635037368,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1851,photograph,2.8121289119553694e-7,0.28121289119553694,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1852,photograph,2.4042453183881207e-7,0.24042453183881207,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1853,photograph,4.909984667733625e-7,0.49099846677336245,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1854,photograph,5.73571862005906e-7,0.573571862005906,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1855,photograph,7.048336314596781e-7,0.7048336314596781,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1856,photograph,0.0000010974649171657802,1.0974649171657802,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1857,photograph,0.0000017097658258080628,1.7097658258080628,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1858,photograph,0.000002065663949224472,2.065663949224472,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1859,photograph,0.0000032740562403432705,3.2740562403432705,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1860,photograph,0.000003154482016043403,3.154482016043403,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1861,photograph,0.0000035577243977513717,3.5577243977513717,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1862,photograph,0.00000437836717992468,4.37836717992468,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1863,photograph,0.0000049940333326503605,4.9940333326503605,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1864,photograph,0.00000536582646759598,5.36582646759598,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1865,photograph,0.000004570724982499996,4.570724982499996,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1866,photograph,0.000004125608739968811,4.125608739968811,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1867,photograph,0.000004616663261458598,4.616663261458598,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1868,photograph,0.0000037285093554828563,3.7285093554828563,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1869,photograph,0.000003989137198345816,3.9891371983458157,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1870,photograph,0.000003710140362045422,3.710140362045422,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1871,photograph,0.000004033643648426732,4.033643648426732,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1872,photograph,0.0000035720716908826944,3.5720716908826944,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1873,photograph,0.000003849061272376275,3.849061272376275,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1874,photograph,0.000004398458443688469,4.398458443688469,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1875,photograph,0.000004105423656142193,4.105423656142193,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1876,photograph,0.000005398786967703018,5.398786967703018,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1877,photograph,0.000004506972956619393,4.506972956619393,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1878,photograph,0.000005173108519329617,5.173108519329617,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1879,photograph,0.000004274565853279455,4.274565853279455,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1880,photograph,0.000004587573116054955,4.587573116054955,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1881,photograph,0.000004262053323600412,4.262053323600412,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1882,photograph,0.00000485968945440618,4.85968945440618,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1883,photograph,0.000005470982642918898,5.470982642918898,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1884,photograph,0.000005759102947422434,5.759102947422434,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1885,photograph,0.000005268095605970302,5.268095605970302,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1886,photograph,0.0000055367124218719255,5.5367124218719255,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1887,photograph,0.000005898785218505509,5.898785218505509,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1888,photograph,0.000006663198397482972,6.663198397482972,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1889,photograph,0.000007148865364570156,7.148865364570156,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1890,photograph,0.000007071513522305395,7.071513522305395,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1891,photograph,0.000007103488349244347,7.103488349244347,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1892,photograph,0.000007218769798589264,7.218769798589264,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1893,photograph,0.000008866694108169981,8.86669410816998,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1894,photograph,0.00000808859274119278,8.08859274119278,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1895,photograph,0.000008783732283745849,8.783732283745849,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1896,photograph,0.000010265028085792993,10.265028085792993,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1897,photograph,0.00001033260451777096,10.33260451777096,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1898,photograph,0.000010350071625087054,10.350071625087054,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1899,photograph,0.000010334423702851314,10.334423702851314,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1900,photograph,0.000009868437985005585,9.868437985005585,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1901,photograph,0.000010240891547122488,10.240891547122487,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1902,photograph,0.000010340895357785485,10.340895357785485,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1903,photograph,0.000010169251311253902,10.169251311253902,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1904,photograph,0.000011009747339703335,11.009747339703335,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1905,photograph,0.00001038666607655614,10.38666607655614,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1906,photograph,0.000009826558169834243,9.826558169834243,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1907,photograph,0.000010244703531725463,10.244703531725463,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1908,photograph,0.000010795889039627582,10.795889039627582,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1909,photograph,0.000010432401921889323,10.432401921889323,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1910,photograph,0.000010405033862070923,10.405033862070923,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1911,photograph,0.000009563673855329802,9.563673855329801,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1912,photograph,0.000010399145315892477,10.399145315892477,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1913,photograph,0.000010354135326906544,10.354135326906544,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1914,photograph,0.000010217481673180373,10.217481673180373,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1915,photograph,0.000010666136482283262,10.666136482283262,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1916,photograph,0.000011004701008232587,11.004701008232587,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1917,photograph,0.000010977906441667074,10.977906441667074,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1918,photograph,0.00001058479636582843,10.584796365828431,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1919,photograph,0.000010810875238576045,10.810875238576045,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
1920,photograph,0.000010478908080813198,10.478908080813198,a_narrative_spine,photographic image baseline; helps define the reproduction-era window,Google Books Ngram Viewer,en,0,false
